日期,訊號總數,★★★,★★,★,TWSE均漲跌%,TPEX均漲跌%,大盤旗標,重複標記數,重複率%,CONTINUE數,出關訊號數
2026-01-23,589,213,155,221,-0.036,0.16,平盤日,,,0,0
2026-01-26,703,225,248,230,0.633,0.593,平盤日,,,0,0
2026-01-27,694,237,210,247,-0.239,-0.115,平盤日,,,0,0
2026-01-28,738,233,240,265,0.294,0.551,平盤日,,,0,0
2026-01-29,610,185,189,236,-0.989,-0.926,平盤日,,,0,0
2026-01-30,592,151,198,243,-1.476,-1.409,平盤日,,,0,0
2026-02-02,461,135,135,191,-1.799,-1.491,強跌日,,,0,0
2026-02-03,375,119,116,140,0.554,0.772,平盤日,,,0,0
2026-02-04,448,159,143,146,1.002,1.156,平盤日,,,0,0
2026-02-05,610,185,174,251,-0.901,-0.513,平盤日,,,0,0
2026-02-06,672,180,200,292,-1.488,-1.387,平盤日,,,0,0
2026-02-09,495,146,148,201,0.283,0.482,平盤日,,,0,0
2026-02-10,587,189,178,220,0.269,-0.059,平盤日,,,0,0
2026-02-11,853,249,295,309,0.383,0.136,平盤日,,,0,0
2026-02-23,992,215,385,392,1.956,1.568,強漲日,,,0,0
2026-02-24,673,172,232,269,0.798,0.84,平盤日,,,0,0
2026-02-25,770,208,248,314,0.468,0.297,平盤日,,,0,0
2026-02-26,819,219,283,317,0.797,0.928,平盤日,,,0,0
2026-03-02,659,196,225,238,-0.094,-0.068,平盤日,,,0,0
2026-03-03,797,225,237,335,-1.327,-1.351,平盤日,,,0,0
2026-03-04,937,175,314,448,-3.888,-3.517,強跌日,,,0,0
2026-03-05,321,113,86,122,1.901,1.963,強漲日,,,0,0
2026-03-06,390,141,112,137,0.664,0.546,平盤日,,,0,0
2026-03-09,1244,439,409,396,-3.954,-3.674,強跌日,,,0,0
2026-03-10,387,125,140,122,1.296,1.347,平盤日,,,0,0
2026-03-11,687,211,224,252,2.402,2.297,強漲日,,,0,0
2026-03-12,633,194,216,223,-0.198,0.074,平盤日,,,0,0
2026-03-13,588,193,188,207,0.017,0.264,平盤日,,,0,0
2026-03-16,677,218,190,269,0.41,0.713,平盤日,,,0,0
2026-03-17,725,216,231,278,1.281,0.769,平盤日,,,0,0
2026-03-18,701,207,238,256,0.792,0.871,平盤日,,,0,0
2026-03-19,659,198,215,246,-0.761,-0.356,平盤日,,,0,0
2026-03-20,653,226,212,215,-0.049,-0.11,平盤日,,,0,0
2026-03-23,608,170,193,245,-2.193,-1.689,強跌日,,,0,0
2026-03-24,434,134,128,172,-0.659,-0.415,平盤日,,,0,0
2026-03-25,505,157,164,184,1.634,1.749,強漲日,,,0,0
2026-03-26,626,177,210,239,-0.599,-0.558,平盤日,,,0,0
2026-03-27,444,139,121,184,-0.103,0.274,平盤日,,,0,0
2026-03-30,714,227,223,264,-1.192,-0.809,平盤日,,,0,0
2026-03-31,823,194,256,373,-2.328,-2.139,強跌日,,,0,0
2026-04-01,421,130,119,172,1.942,1.907,強漲日,,,0,0
2026-04-02,473,156,134,183,-1.031,-0.692,平盤日,,,0,0
2026-04-07,542,176,168,198,0.363,0.436,平盤日,,,0,0
2026-04-08,1025,297,343,385,2.332,1.837,強漲日,,,0,0
2026-04-09,624,180,223,221,0.062,0.009,平盤日,,,0,0
2026-04-10,825,295,246,284,0.449,0.741,平盤日,,,0,0
2026-04-13,832,276,270,286,0.879,0.926,平盤日,,,0,0
2026-04-14,922,269,309,344,0.895,0.408,平盤日,,,0,0
2026-04-15,766,200,245,321,0.565,0.492,平盤日,,,0,0
2026-04-16,689,200,236,253,0.956,0.841,平盤日,,,0,0
2026-04-17,759,216,226,317,0.577,0.836,平盤日,,,0,0
2026-04-20,961,268,332,361,0.369,0.811,平盤日,,,0,0
2026-04-21,712,225,234,253,0.868,0.956,平盤日,,,0,0
2026-04-22,840,270,260,310,0.52,1.206,平盤日,,,0,0
2026-04-23,1344,330,494,520,-2.242,-2.2,強跌日,,,0,0
2026-04-24,450,132,147,171,-0.537,-0.327,平盤日,,,0,0
2026-04-27,723,159,255,309,-1.115,-1.034,平盤日,,,0,0
2026-04-28,353,109,103,141,0.769,0.648,平盤日,,,0,0
2026-04-29,488,165,150,173,0.292,0.151,平盤日,,,0,0
2026-04-30,700,193,232,275,-0.489,0.063,平盤日,,,335,9
